trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time
1,8270,10683,San Francisco,37.17093115,-77.58647937,37.17365234,-77.61993434,2.97,10.71,Completed,Wallet,01-01-2023 00:00,08:54.6
2,1860,44743,Boston,38.89812692,-108.582977,38.9374638,-108.5587272,8.43,22.41,Completed,UPI,01-01-2023 00:01,26:17.4
3,6390,75839,San Francisco,38.81457057,-89.94260271,38.82170236,-89.89643456,5.46,12.91,Completed,Cash,01-01-2023 00:02,18:22.8
4,6191,22189,New York,37.29590569,-75.32884415,37.30137521,-75.31748784,6.61,15.7,Completed,Wallet,01-01-2023 00:03,22:49.8
5,6734,61104,Seattle,38.97239534,-121.4829129,38.99208841,-121.4679044,10.5,19.15,Completed,Wallet,01-01-2023 00:04,35:30.0
6,7265,84988,San Francisco,37.60055094,-106.7190687,37.55691581,-106.7309591,9.94,19.95,Completed,Card,01-01-2023 00:05,34:49.2
7,1466,82933,San Francisco,40.28855964,-82.80821939,40.27883011,-82.84463502,12.22,25.89,Completed,UPI,01-01-2023 00:06,42:39.6
8,5426,60182,Chicago,40.60118828,-78.39873323,40.56981086,-78.36818594,10.14,25.55,Completed,Cash,01-01-2023 00:07,37:25.2
9,6578,15826,San Francisco,40.29624711,-87.57651655,40.28463759,-87.56478285,1.88,7.97,Completed,Cash,01-01-2023 00:08,13:38.4
10,9322,63503,Boston,40.71263418,-78.4996557,40.67026655,-78.47747536,3.7,12.21,No-Show,UPI,01-01-2023 00:09,20:06.0
11,2685,19386,Los Angeles,39.58915904,-119.3519438,39.58070703,-119.3392327,7.5,13.99,Completed,Cash,01-01-2023 00:10,32:30.0
12,1769,54319,Boston,40.37432863,-107.8435633,40.37711011,-107.8788683,5.64,11.38,Completed,Card,01-01-2023 00:11,27:55.2
13,7949,83961,Boston,38.99690305,-111.3877301,39.01451832,-111.4300313,1.6,4.93,Completed,UPI,01-01-2023 00:12,16:48.0
14,3433,21112,Los Angeles,40.1607389,-104.1412378,40.15115547,-104.1416611,7.13,15.22,Completed,Cash,01-01-2023 00:13,34:23.4
15,6311,44486,San Francisco,40.78622126,-101.2118517,40.83300318,-101.2126049,1.74,4.88,Completed,Cash,01-01-2023 00:14,19:13.2
16,6051,76028,Los Angeles,38.52272693,-111.3610336,38.52474336,-111.3187031,5.94,14.07,Completed,Cash,01-01-2023 00:15,32:49.2
17,7420,87010,Los Angeles,40.33664375,-76.61809183,40.31207002,-76.63071484,9.4,24.1,No-Show,UPI,01-01-2023 00:16,44:12.0
18,2184,83565,Boston,38.89645074,-115.9842967,38.86063869,-116.0285248,7.19,19.78,Completed,Card,01-01-2023 00:17,38:34.2
19,5555,66686,Seattle,39.45112707,-84.04660047,39.44479296,-84.02128965,4.49,13.35,Completed,UPI,01-01-2023 00:18,31:28.2
20,4385,55284,Boston,40.53108545,-78.32868286,40.51050443,-78.29286883,5.22,13.43,Completed,Wallet,01-01-2023 00:19,34:39.6
21,7396,15886,Seattle,40.52355785,-102.2121243,40.54442234,-102.1998799,13.13,30.11,Completed,UPI,01-01-2023 00:20,59:23.4
22,9666,24412,Chicago,39.96864221,-96.19687303,39.98973701,-96.22762517,6.43,16.21,Completed,Cash,01-01-2023 00:21,40:17.4
23,3558,83992,New York,38.25005301,-77.68718992,38.22069674,-77.65960288,8.1,15.18,Completed,UPI,01-01-2023 00:22,46:18.0
24,8849,70919,San Francisco,37.34621646,-114.6242403,37.36591785,-114.6292002,6.27,13.78,Completed,Card,01-01-2023 00:23,41:48.6
25,3047,39415,Los Angeles,40.94707823,-115.7471169,40.93656334,-115.7058635,5.3,12.22,Completed,Wallet,01-01-2023 00:24,39:54.0
26,3747,28056,Boston,39.27394994,-119.5919477,39.23030812,-119.5773835,9.34,17.28,Completed,Wallet,01-01-2023 00:25,53:01.2
27,1189,95567,Seattle,37.4424099,-79.67258601,37.39341935,-79.64515758,6.77,16.78,Completed,UPI,01-01-2023 00:26,46:18.6
28,3734,32772,Boston,40.83762789,-110.3287367,40.85090555,-110.3150733,5.45,15.63,Completed,UPI,01-01-2023 00:27,43:21.0
29,4005,51388,San Francisco,38.82906651,-98.13299638,38.83020843,-98.09611635,9.32,20.11,Cancelled,Card,01-01-2023 00:28,55:57.6
30,5658,62314,Chicago,40.8490781,-107.9889383,40.81648272,-107.9751658,7.76,14.05,Completed,UPI,01-01-2023 00:29,52:16.8
31,2899,90316,Boston,38.46072055,-73.71883758,38.4513947,-73.67670464,1.5,8.16,Completed,Cash,01-01-2023 00:30,34:30.0
32,8734,84181,Los Angeles,40.63739006,-81.83660484,40.63314581,-81.81786827,6.23,13.16,Completed,UPI,01-01-2023 00:31,49:41.4
33,2267,34924,San Francisco,40.41336999,-89.12880927,40.46220956,-89.10010782,4.94,12.42,Completed,Wallet,01-01-2023 00:32,46:49.2
34,2528,58221,Los Angeles,38.88503292,-77.58797341,38.8789613,-77.5550509,7.47,17.27,Completed,Cash,01-01-2023 00:33,55:24.6
35,4556,51381,New York,38.24936856,-109.817982,38.24429727,-109.768796,5.9,9.32,Completed,Cash,01-01-2023 00:34,51:42.0
36,4890,55741,Boston,39.9619441,-108.0275478,39.98286351,-108.0637949,15.66,28.08,Completed,Card,01-01-2023 00:35,21:58.8
37,9838,91019,Seattle,40.40166521,-82.83943773,40.3721337,-82.8716117,11.02,25.88,Completed,Card,01-01-2023 00:36,09:03.6
38,6393,26965,San Francisco,37.17069044,-110.5862291,37.12391606,-110.591799,3.69,8.58,Completed,Cash,01-01-2023 00:37,48:04.2
39,9792,45430,Boston,37.89935783,-91.62124509,37.92325288,-91.61590534,9.22,22.43,Completed,Cash,01-01-2023 00:38,05:39.6
40,9433,97272,New York,38.71959224,-86.77867435,38.70107756,-86.73755405,11.6,25.12,Completed,Card,01-01-2023 00:39,13:48.0
